site_i_enzyme,site_ii_enzyme,site_iii_enzyme,site_i_ovhg,site_ii_ovhg,site_iii_ovhg,pGEX-4T-1_compatible,pMAL-c5X_compatible,pET-21a(+)_compatible,pET-28a(+)_compatible,pET-28a(+)_start_codon_compatible,pCold_I_compatible,pUC18_compatible,pQE-3_compatible
NcoI,EcoRI,BsgI,-4,-4,2,False,False,False,False,False,False,True,False
NcoI,EcoRI,BsmI,-4,-4,2,True,False,True,False,False,False,True,False
NcoI,EcoRI,BspMI,-4,-4,-4,False,False,True,False,True,True,True,False
NcoI,EcoRI,SapI,-4,-4,-3,False,False,False,False,False,True,False,False
NcoI,HindIII,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
NcoI,HindIII,BsaI,-4,-4,-4,False,False,False,False,True,False,False,False
NcoI,HindIII,BseRI,-4,-4,2,True,True,True,False,True,True,True,False
NcoI,HindIII,BsgI,-4,-4,2,False,False,False,False,False,False,True,False
NcoI,HindIII,BsmI,-4,-4,2,True,False,True,False,False,False,True,False
NcoI,HindIII,BspMI,-4,-4,-4,False,False,True,False,True,True,True,False
NcoI,HindIII,SapI,-4,-4,-3,False,False,False,False,False,True,False,False
NcoI,MluI,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
NcoI,MluI,BseRI,-4,-4,2,False,False,False,False,False,False,True,False
NcoI,MluI,BsgI,-4,-4,2,False,False,False,False,False,False,True,False
NcoI,MluI,BsmI,-4,-4,2,False,False,False,False,False,False,True,False
NcoI,MluI,BspMI,-4,-4,-4,False,False,False,False,False,False,True,False
NcoI,NcoI,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
NcoI,NcoI,BsaI,-4,-4,-4,False,False,False,False,True,False,False,False
NcoI,NcoI,BseRI,-4,-4,2,True,True,True,False,True,True,True,False
NcoI,NcoI,BsgI,-4,-4,2,False,False,False,False,False,False,True,False
NcoI,NcoI,BsmI,-4,-4,2,True,False,True,False,False,False,True,False
NcoI,NcoI,BspMI,-4,-4,-4,False,False,True,False,True,True,True,False
NcoI,NcoI,SapI,-4,-4,-3,False,False,False,False,False,True,False,False
NcoI,NheI,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
NcoI,NheI,BsaI,-4,-4,-4,False,False,False,False,True,False,False,False
NcoI,NheI,BseRI,-4,-4,2,True,True,True,False,True,False,True,False
NcoI,NheI,BsgI,-4,-4,2,False,False,False,False,False,False,True,False
NcoI,NheI,BsmI,-4,-4,2,True,False,True,False,False,False,True,False
NcoI,NheI,BspMI,-4,-4,-4,False,False,True,False,True,False,True,False
NcoI,NotI,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
NcoI,NotI,BsaI,-4,-4,-4,False,False,False,False,True,False,False,False
NcoI,NotI,BseRI,-4,-4,2,True,True,True,False,True,True,True,False
NcoI,NotI,BsgI,-4,-4,2,False,False,False,False,False,False,True,False
NcoI,NotI,BsmI,-4,-4,2,True,False,True,False,False,False,True,False
NcoI,NotI,BspMI,-4,-4,-4,False,False,True,False,True,True,True,False
NcoI,NotI,SapI,-4,-4,-3,False,False,False,False,False,True,False,False
NcoI,PacI,BbsI,-4,2,-4,False,False,False,False,False,False,True,False
NcoI,PacI,BsaI,-4,2,-4,False,False,False,False,True,False,False,False
NcoI,PacI,BseRI,-4,2,2,True,True,True,False,True,True,True,False
NcoI,PacI,BsgI,-4,2,2,False,False,False,False,False,False,True,False
NcoI,PacI,BsmI,-4,2,2,True,False,True,False,False,False,True,False
NcoI,PacI,BspMI,-4,2,-4,False,False,True,False,True,True,True,False
NcoI,PacI,SapI,-4,2,-3,False,False,False,False,False,True,False,False
NcoI,PciI,BseRI,-4,-4,2,False,False,False,False,False,True,False,False
NcoI,PciI,BspMI,-4,-4,-4,False,False,False,False,False,True,False,False
NcoI,PciI,SapI,-4,-4,-3,False,False,False,False,False,True,False,False
NcoI,PspOMI,BbsI,-4,-4,-4,False,False,False,False,False,False,True,False
NcoI,PspOMI,BseRI,-4,-4,2,False,False,False,False,False,False,True,False
