re1,re2,orthogonality
PacI,BsrGI,4
PacI,KpnI,4
PacI,PshBI,4
PacI,NdeI,4
PacI,BfaI,4
PacI,Csp6I,4
PacI,MseI,4
PacI,BbvCI,4
PacI,AbsI,4
PacI,SgrDI,4
PacI,XhoI,4
PacI,SalI,4
PacI,ApaLI,4
PacI,EcoT22I,4
PacI,SdaI,4
PacI,PstI,4
PacI,AflII,4
PciI,EcoRI,1
PciI,BauI,1
PciI,TaiI,4
PciI,AatII,4
PciI,HindIII,1
PciI,SacI,4
PciI,PvuI,4
PciI,BstKTI,4
PciI,RgaI,4
PciI,PacI,4
PciI,PciI,0
PciI,NcoI,0
PciI,BspHI,0
PciI,NlaIII,4
PciI,SphI,4
PciI,BseYI,1
PciI,GsaI,4
PciI,AgeI,1
PciI,XmaI,1
PciI,MreI,1
PciI,KroI,1
PciI,BspEI,1
PciI,FseI,4
PciI,AclI,4
PciI,HpySE526I,4
PciI,BspDI,4
PciI,AciI,4
PciI,HpaII,4
PciI,Hin6I,4
PciI,NarI,4
PciI,TaqI,4
PciI,BstBI,4
PciI,HhaI,4
PciI,MluI,1
PciI,MauBI,1
PciI,BssHII,1
PciI,AscI,1
PciI,SpeI,1
PciI,AvrII,1
PciI,NheI,1
PciI,XbaI,1
PciI,BspOI,4
PciI,BglII,1
PciI,BamHI,1
PciI,BclI,1
PciI,SacII,4
PciI,SspDI,1
PciI,BseX3I,1
PciI,NotI,1
PciI,PspOMI,1
PciI,ApaI,4
PciI,BsiWI,1
PciI,Asp718I,1
PciI,BsrGI,1
PciI,KpnI,4
PciI,PshBI,4
PciI,NdeI,4
PciI,BfaI,4
PciI,Csp6I,4
PciI,MseI,4
PciI,BbvCI,4
PciI,AbsI,1
PciI,SgrDI,1
PciI,XhoI,1
PciI,SalI,1
PciI,ApaLI,1
PciI,EcoT22I,4
PciI,SdaI,4
PciI,PstI,4
PciI,AflII,1
NcoI,EcoRI,1
NcoI,BauI,1
NcoI,TaiI,4
NcoI,AatII,4
NcoI,HindIII,1
NcoI,SacI,4
NcoI,PvuI,4
NcoI,BstKTI,4
NcoI,RgaI,4
NcoI,PacI,4
NcoI,PciI,0
NcoI,NcoI,0
NcoI,BspHI,0
NcoI,NlaIII,4
NcoI,SphI,4
NcoI,BseYI,1
NcoI,GsaI,4
NcoI,AgeI,1
NcoI,XmaI,1
NcoI,MreI,1
NcoI,KroI,1
NcoI,BspEI,1
NcoI,FseI,4
NcoI,AclI,4
NcoI,HpySE526I,4
NcoI,BspDI,4
NcoI,AciI,4
NcoI,HpaII,4
NcoI,Hin6I,4
NcoI,NarI,4
NcoI,TaqI,4
NcoI,BstBI,4
NcoI,HhaI,4
NcoI,MluI,1
NcoI,MauBI,1
NcoI,BssHII,1
NcoI,AscI,1
NcoI,SpeI,1
NcoI,AvrII,1
NcoI,NheI,1
NcoI,XbaI,1
NcoI,BspOI,4
NcoI,BglII,1
NcoI,BamHI,1
NcoI,BclI,1
NcoI,SacII,4
NcoI,SspDI,1
NcoI,BseX3I,1
NcoI,NotI,1
NcoI,PspOMI,1
NcoI,ApaI,4
NcoI,BsiWI,1
NcoI,Asp718I,1
NcoI,BsrGI,1
NcoI,KpnI,4
NcoI,PshBI,4
NcoI,NdeI,4
NcoI,BfaI,4
NcoI,Csp6I,4
NcoI,MseI,4
NcoI,BbvCI,4
NcoI,AbsI,1
NcoI,SgrDI,1
NcoI,XhoI,1
NcoI,SalI,1
NcoI,ApaLI,1
NcoI,EcoT22I,4
NcoI,SdaI,4
NcoI,PstI,4
NcoI,AflII,1
BspHI,EcoRI,1
BspHI,BauI,1
BspHI,TaiI,4
BspHI,AatII,4
BspHI,HindIII,1
BspHI,SacI,4
BspHI,PvuI,4
BspHI,BstKTI,4
BspHI,RgaI,4
BspHI,PacI,4
BspHI,PciI,0
BspHI,NcoI,0
BspHI,BspHI,0
BspHI,NlaIII,4
BspHI,SphI,4
BspHI,BseYI,1
BspHI,GsaI,4
BspHI,AgeI,1
BspHI,XmaI,1
BspHI,MreI,1
BspHI,KroI,1
BspHI,BspEI,1
BspHI,FseI,4
BspHI,AclI,4
BspHI,HpySE526I,4
BspHI,BspDI,4
BspHI,AciI,4
BspHI,HpaII,4
BspHI,Hin6I,4
BspHI,NarI,4
BspHI,TaqI,4
BspHI,BstBI,4
BspHI,HhaI,4
BspHI,MluI,1
BspHI,MauBI,1
BspHI,BssHII,1
BspHI,AscI,1
BspHI,SpeI,1
BspHI,AvrII,1
BspHI,NheI,1
BspHI,XbaI,1
BspHI,BspOI,4
BspHI,BglII,1
BspHI,BamHI,1
BspHI,BclI,1
BspHI,SacII,4
BspHI,SspDI,1
BspHI,BseX3I,1
BspHI,NotI,1
BspHI,PspOMI,1
BspHI,ApaI,4
BspHI,BsiWI,1
BspHI,Asp718I,1
BspHI,BsrGI,1
BspHI,KpnI,4
BspHI,PshBI,4
BspHI,NdeI,4
BspHI,BfaI,4
BspHI,Csp6I,4
BspHI,MseI,4
BspHI,BbvCI,4
BspHI,AbsI,1
BspHI,SgrDI,1
BspHI,XhoI,1
BspHI,SalI,1
BspHI,ApaLI,1
BspHI,EcoT22I,4
BspHI,SdaI,4
BspHI,PstI,4
BspHI,AflII,1
NlaIII,EcoRI,4
NlaIII,BauI,4
NlaIII,TaiI,1
NlaIII,AatII,1
NlaIII,HindIII,4
NlaIII,SacI,1
NlaIII,PvuI,4
NlaIII,BstKTI,4
NlaIII,RgaI,4
NlaIII,PacI,4
NlaIII,PciI,4
NlaIII,NcoI,4
NlaIII,BspHI,4
NlaIII,NlaIII,0
NlaIII,SphI,0
NlaIII,BseYI,4
NlaIII,GsaI,1
NlaIII,AgeI,4
NlaIII,XmaI,4
NlaIII,MreI,4
