,pGEX-4T-1,pMAL-c5X,pET-21a(+),pET-28a(+),pET-28a(+)_start_codon,pCold_I,pUC18,pQE-3
Cau10061II,False,False,False,False,False,False,False,False
SimI,False,False,False,False,False,False,False,False
BstNSI,False,False,False,False,False,False,False,False
NsiI,True,True,True,False,False,True,True,True
SgfI,True,True,True,False,False,True,True,True
Psp124BI,True,False,True,True,True,True,True,True
SstI,True,False,True,True,True,True,True,True
Hin1II,False,False,False,False,False,False,False,False
SbfI,True,True,True,True,True,True,True,True
AvaIII,True,True,True,False,False,True,True,True
Alw26I,False,False,False,False,False,False,False,False
Aod1I,False,False,False,False,False,False,True,True
CjeI,False,False,False,False,False,False,False,False
ApaBI,False,False,False,False,False,False,False,False
PspOMI,False,False,False,False,False,False,True,True
BalI,False,False,True,True,True,True,True,False
MspA1I,False,False,False,False,False,False,False,False
BfrI,True,True,True,True,True,True,True,True
UbaF12I,False,True,False,False,False,False,False,False
XmaIII,True,True,True,True,True,True,True,True
Sse232I,True,True,True,True,True,True,True,True
MabI,True,True,True,True,True,True,True,True
Bbv12I,False,False,False,False,False,False,False,False
BseSI,False,False,False,False,False,False,False,False
BscGI,False,False,False,False,False,False,False,False
StsI,False,False,False,False,False,False,False,False
BscAI,False,False,False,False,False,False,False,False
PspOMII,False,False,False,False,False,False,False,True
Acc65V,False,False,False,False,False,False,True,True
Hpy99XIV,False,False,False,False,False,False,False,False
PpiI,False,False,False,False,False,False,False,False
AluI,False,False,False,False,False,False,False,False
CspAI,True,True,True,True,True,True,True,True
FbaI,False,False,False,False,False,False,True,True
HpySE526I,False,False,False,False,False,False,False,False
Cco14983V,False,False,False,False,False,False,False,False
Cgl13032I,False,False,False,False,False,False,False,False
Cba13II,True,True,False,False,False,False,True,True
CjePI,False,False,False,False,False,False,False,False
LpnI,False,False,False,False,False,False,False,False
PfrJS12IV,False,False,False,False,False,False,False,False
Psp03I,False,False,False,False,False,False,False,False
DriI,False,False,False,True,True,False,False,False
BsiEI,False,False,False,False,False,False,False,False
BstMWI,False,False,False,False,False,False,False,False
SduI,False,False,False,False,False,False,False,False
FriOI,False,False,False,False,False,False,True,True
TscAI,False,False,False,False,False,False,False,False
PcsI,False,False,False,False,False,False,False,False
CjeNIII,False,False,False,False,False,False,False,False
PabI,False,False,False,False,False,False,False,False
Hpy300XI,False,False,False,False,False,False,False,False
SmaI,True,True,True,False,False,True,True,True
XmnI,False,False,False,False,False,False,False,False
BsoBI,True,False,True,False,False,False,True,False
Rtr1953I,False,False,False,False,False,False,False,False
Ecl234I,False,False,False,False,False,False,False,False
Cma23826I,False,False,False,False,False,False,False,False
CjeNII,False,False,False,False,False,False,False,False
RdeGBI,False,False,False,False,False,False,False,False
Eli8509II,False,False,False,False,False,False,False,False
BspMII,True,False,False,False,False,True,True,False
NsbI,False,False,False,False,False,False,False,False
EcoICRI,True,False,True,True,True,True,True,True
SmiI,False,True,True,True,True,True,True,True
PvuII,False,False,False,False,False,False,False,False
MluNI,False,False,True,True,True,True,True,False
BstFNI,False,False,False,False,False,False,False,False
PdmI,False,False,False,False,False,False,False,False
FaiI,False,False,False,False,False,False,False,False
StuI,True,True,True,True,True,True,True,True
MslI,False,False,False,False,False,False,False,False
AscI,True,True,True,True,True,True,True,True
AspNIH4III,False,False,False,False,False,False,False,False
BspNCI,False,False,False,False,False,False,False,False
BsiI,False,False,False,False,False,False,False,False
NgoAVII,False,False,False,False,False,False,False,False
BshTI,True,True,True,True,True,True,True,True
EcoRII,False,False,False,False,False,False,False,False
SexAI,True,True,True,True,True,True,True,True
CciI,False,False,False,False,False,False,False,False
Bsp19I,True,True,True,False,True,True,True,False
MvaI,False,False,False,False,False,False,False,False
BstACI,False,False,False,False,False,False,False,False
Cfr13I,False,False,False,False,False,False,False,False
PspPI,False,False,False,False,False,False,False,False
BstMBI,False,False,False,False,False,False,False,False
WviI,False,False,False,False,False,False,False,False
Pac19842II,False,False,False,False,False,False,False,False
AsuII,False,True,True,True,True,True,True,True
Bsh1236I,False,False,False,False,False,False,False,False
Cfr9I,True,True,True,False,False,True,True,True
