,pGEX-4T-1,pMAL-c5X,pET-21a(+),pET-28a(+),pET-28a(+)_start_codon,pCold_I,pUC18,pQE-3
Xca85IV,False,False,False,False,False,False,False,True
AfaI,False,False,False,False,False,False,False,False
AvaII,False,False,False,False,False,False,False,False
FseI,True,True,True,True,True,True,True,True
Cco14983VI,False,False,False,False,False,False,False,False
Cgl13032II,False,False,False,False,False,False,False,False
CfrMH13II,False,False,False,False,False,False,False,False
Cba16038I,False,False,False,False,False,False,False,False
BanLI,False,False,False,False,False,False,False,False
SauI,False,False,True,True,True,True,True,True
MluNI,False,False,True,True,True,True,True,False
AspJHL3II,False,False,False,False,False,False,True,True
RflFIII,False,False,False,False,False,False,False,False
EsaSSI,False,False,False,False,False,False,False,False
Csp2014I,False,False,False,False,False,False,False,False
Cje54107III,False,False,False,False,False,False,False,False
CjeNV,False,False,False,False,False,False,False,False
Ecl35734I,False,False,False,False,False,True,True,False
Saf8902III,False,False,False,False,False,False,True,True
AbaUMB2I,False,False,False,False,False,False,False,False
Lra68I,True,False,False,False,False,False,True,True
Bce83I,False,False,False,False,False,False,False,False
Cfr10I,False,False,False,False,False,False,False,False
CchIII,True,True,False,False,False,True,True,True
Sbo46I,False,False,False,False,False,False,False,False
SenSARA26III,False,False,False,False,False,False,False,False
BsiI,False,False,False,False,False,False,False,False
SfoI,False,False,False,False,False,False,False,True
SwaI,False,True,True,True,True,True,True,True
BmtI,True,True,True,False,True,False,True,False
BslI,False,False,False,False,False,False,False,False
LsaDS4I,False,False,True,False,False,True,False,True
Mcr10I,True,True,True,True,True,True,True,True
Jma19592I,False,False,False,False,False,False,False,False
OgrI,False,False,False,False,False,False,False,False
Lmo370I,True,False,True,True,True,True,True,True
MspI7IV,False,False,False,True,True,False,False,False
Pba2294I,False,False,False,False,False,False,False,False
Sth20745III,False,True,True,True,True,True,True,True
BmrFI,False,False,False,False,False,False,False,False
BseBI,False,False,False,False,False,False,False,False
BaeI,False,True,True,True,True,True,True,True
AcyI,False,False,False,False,False,False,False,False
Bme18I,False,False,False,False,False,False,False,False
Bsp1720I,True,False,False,False,False,True,True,False
Rsp008IV,False,False,False,False,False,False,False,False
RspPBTS2III,True,True,True,True,True,True,True,True
TsoI,False,False,False,False,False,False,False,False
AclWI,False,False,False,False,False,False,False,False
BstC8I,False,False,False,False,False,False,False,False
EheI,False,False,False,False,False,False,False,True
AquII,False,False,False,False,False,True,False,True
TspEI,False,False,False,False,False,False,False,False
NmuCI,False,False,False,False,False,False,False,False
CspI,True,False,True,True,True,True,True,True
BseJI,True,False,False,False,False,True,True,True
AspLEI,False,False,False,False,False,False,False,False
XmiI,True,True,False,False,False,True,True,False
Bsp1407I,True,True,True,True,True,True,True,True
Eco91I,False,False,False,False,False,False,True,True
PsrI,True,True,True,True,True,True,True,True
Bst2UI,False,False,False,False,False,False,False,False
Psp6I,False,False,False,False,False,False,False,False
Rsr2I,True,False,True,True,True,True,True,True
Asi256I,False,False,False,False,False,False,False,False
KpnNH25III,False,False,False,False,False,False,False,False
HgiCI,False,False,False,False,False,False,False,False
BfiI,False,False,False,False,False,False,False,False
SelI,False,False,False,False,False,False,False,False
MbiI,False,False,False,False,False,False,False,False
NgoAVIII,False,False,False,False,False,False,False,False
Nbr128II,True,False,True,True,True,True,True,False
SanDI,True,True,True,True,True,True,True,True
BsaI,False,False,False,True,True,False,False,False
BciT130I,False,False,False,False,False,False,False,False
RceI,False,False,False,False,False,False,True,True
RgaI,True,True,True,False,False,True,True,True
ApyPI,False,False,False,False,False,False,False,False
NsiI,True,True,True,False,False,True,True,True
SgfI,True,True,True,False,False,True,True,True
BpmI,False,False,False,False,False,False,False,False
BstNSI,False,False,False,False,False,False,False,False
BsmAI,False,False,False,False,False,False,False,False
Psp124BI,True,False,True,True,True,True,True,True
SstI,True,False,True,True,True,True,True,True
Hin1II,False,False,False,False,False,False,False,False
SbfI,True,True,True,True,True,True,True,True
FblI,True,True,False,False,False,True,True,False
Asu14238IV,False,False,False,False,False,False,False,False
Hpy99XIV_mut1,False,False,False,False,False,False,False,False
HpyAXVI_mut1,False,False,False,False,False,False,False,False
ApaBI,False,False,False,False,False,False,False,False
Cal14237I,False,False,False,False,False,False,False,False
HpyUM032XIV,False,False,False,False,False,False,False,False
BstUI,False,False,False,False,False,False,False,False
BcgI,False,False,False,False,False,False,False,False
BinI,False,False,False,False,False,False,False,False
XmaIII,True,True,True,True,True,True,True,True
BsuI,False,False,False,False,False,False,False,False
BstV1I,False,False,False,False,False,False,False,False
PciSI,False,False,False,False,False,True,False,False
EciI,False,False,False,False,False,False,False,False
BseXI,False,False,False,False,False,False,False,False
LguI,False,False,False,False,False,True,False,False
Eam1104I,False,False,False,False,False,False,False,False
BseMI,False,False,False,False,False,False,False,False
Mva1269I,True,False,True,False,False,False,True,False
HpaII,False,False,False,False,False,False,False,False
Pse18267I,False,False,False,False,False,False,False,False
PctI,True,False,True,False,False,False,True,False
BcoDI,False,False,False,False,False,False,False,False
AjuI,True,True,True,False,False,True,True,True
ZrmI,False,False,False,True,True,False,False,False
MmeI,False,False,False,False,False,False,False,False
TspGWI,False,False,False,False,False,False,False,False
AmaCSI,False,False,False,False,False,False,False,False
HgiEII,False,False,False,False,False,False,False,False
LpnI,False,False,False,False,False,False,False,False
TspARh3I,False,False,False,False,False,False,False,False
PcsI,False,False,False,False,False,False,False,False
SduI,False,False,False,False,False,False,False,False
TscAI,False,False,False,False,False,False,False,False
BspMI,False,False,True,True,True,True,True,True
Esp3I,False,False,False,False,False,False,False,False
BciVI,False,False,False,False,False,False,False,False
TspDTI,False,False,False,False,False,False,False,False
BarI,True,True,False,False,False,True,True,True
BsiEI,False,False,False,False,False,False,False,False
BstMWI,False,False,False,False,False,False,False,False
SgrDI,True,True,True,True,True,True,True,True
Sth132I,False,False,False,False,False,False,False,False
EcoRV,False,True,False,False,False,False,True,True
HindII,False,False,False,False,False,False,True,True
BstBAI,False,True,False,False,False,False,True,False
BsoBI,True,False,True,False,False,False,True,False
Bbr7017II,False,False,False,False,False,False,False,False
PsuGI,False,False,False,False,False,False,False,False
AquIII,True,True,True,True,True,True,True,True
BspMII,True,False,False,False,False,True,True,False
PfoI,False,False,False,False,False,False,False,False
FaiI,False,False,False,False,False,False,False,False
MslI,False,False,False,False,False,False,False,False
Eco47III,True,False,False,False,False,True,True,True
PspCI,True,True,True,True,True,True,True,True
Bse1I,False,False,False,False,False,False,False,False
BstFNI,False,False,False,False,False,False,False,False
BtuMI,True,True,True,False,False,True,True,True
HpyCH4V,False,False,False,False,False,False,False,False
NsbI,False,False,False,False,False,False,False,False
EcoICRI,True,False,True,True,True,True,True,True
AlwI,False,False,False,False,False,False,False,False
AscI,True,True,True,True,True,True,True,True
Tth111I,False,False,False,False,False,True,True,False
AvrII,True,True,True,True,True,True,True,True
BlnI,True,True,True,True,True,True,True,True
BshTI,True,True,True,True,True,True,True,True
Bsp19I,True,True,True,False,True,True,True,False
Cfr13I,False,False,False,False,False,False,False,False
EcoRII,False,False,False,False,False,False,False,False
MvaI,False,False,False,False,False,False,False,False
PspPI,False,False,False,False,False,False,False,False
SexAI,True,True,True,True,True,True,True,True
AchA6III,False,False,False,False,False,False,False,False
Sno506I,False,False,False,True,True,False,False,False
AoxI,False,False,False,False,False,False,False,False
AsuII,False,True,True,True,True,True,True,True
Bse118I,False,False,False,False,False,False,False,False
BlsI,False,False,False,False,False,False,False,False
RdeGBIII,False,False,False,False,False,False,False,False
EsaBC3I,False,False,False,False,False,False,False,False
Eco43896II,False,False,False,False,False,False,False,False
