module_length,plasmid,successes,tests,success_rate
57,pQE-3,969,1000,0.969
58,pGEX-4T-1,976,1000,0.976
58,pMAL-c5X,955,1000,0.955
58,pET-21a(+),956,1000,0.956
58,pET-28a(+),937,1000,0.937
58,pET-28a(+)_start_codon,960,1000,0.96
58,pCold_I,986,1000,0.986
58,pUC18,996,1000,0.996
58,pQE-3,969,1000,0.969
59,pGEX-4T-1,981,1000,0.981
59,pMAL-c5X,965,1000,0.965
59,pET-21a(+),966,1000,0.966
59,pET-28a(+),946,1000,0.946
59,pET-28a(+)_start_codon,979,1000,0.979
59,pCold_I,983,1000,0.983
59,pUC18,991,1000,0.991
59,pQE-3,973,1000,0.973
60,pGEX-4T-1,984,1000,0.984
60,pMAL-c5X,976,1000,0.976
60,pET-21a(+),969,1000,0.969
60,pET-28a(+),951,1000,0.951
60,pET-28a(+)_start_codon,966,1000,0.966
60,pCold_I,985,1000,0.985
60,pUC18,989,1000,0.989
60,pQE-3,965,1000,0.965
